_id,Categoria_de_premiação,Nome_do_projeto,Escola,Cidade,Estado,Ano
664bfc83454cf75dcafaa8b0,Menção Honrosa em Física 2018 ,Estudo comparativo de propriedades eletrônicas de dispositivos de rede de nanofios de germânio com diferentes configurações ,IFSP - Campus Sertãozinho, Sertaozinho,São Paulo (SP),2018
664bfc84454cf75dcafaa8b1,Menção Honrosa em Física 2018 ,Usando a robótica educacional de baixo custo para ensinar fenômenos físicos ,IFPI - Unid. Parnaíba, Parnaiba,Piauí (PI),2018
664bfc84454cf75dcafaa8b2,Destaque em Física 2018 ,A influência da temperatura no coeficiente de atrito dinâmico ,Escola Suíço-Brasileira de São Paulo, Sao Paulo,São Paulo (SP),2018
664bfc85454cf75dcafaa8b3,Prêmio Museu Paulista da USP ,Áudio Guia 2.0: interface de realidade aumentada em áudio para navegação e orientação de pessoas com deficiência visual por meio do mapa espacial cognitivo ,Instituto Federal de Educação, Ciência E Tecnologia Sul-Rio-Grandense - Unidade Charqueadas,Tocantins (TO),2018
664bfc85454cf75dcafaa8b4,Prêmio Museu Paulista da USP ,"Cabelo, autoestima e construção da identidade da menina negra no ensino fundamental II – estudo de caso na E.E. Leila Mara Avelino ",E. E. Leila Mara Avelino, Sumare,São Paulo (SP),2018
664bfc85454cf75dcafaa8b5,Prêmio Museu Paulista da USP ,Sistema de sinalização espacial- sonora para deficientes visuais ,Colégio Militar de Manaus, Manaus,Amazonas (AM),2018
664bfc86454cf75dcafaa8b6,Prêmio Museu Paulista da USP ,Site da coordenação de história do CEFET-RJ Maracanã ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca - CEFET/RJ, Rio De Janeiro,Rio de Janeiro (RJ),2018
664bfc87454cf75dcafaa8b7,Prêmio Anna Frida Hoffman ,Controlador de carga fotovoltaico inteligente de baixo custo ,Centro Federal de Educação Tecnológica - Unidade Curvelo, Curvelo,Minas Gerais (MG),2018
664bfc87454cf75dcafaa8b8,Prêmio Marília Chaves Peixoto ,Bolmoringa - o uso da semente da Moringa oleifera como solução a eutrofização ,Escola SESI-Canaã Centro de Atividades Mozart Soares Filho, Goiania,Goiás (GO),2018
664bfc88454cf75dcafaa8b9,Prêmio Marília Chaves Peixoto ,Free Access: sistema colaborativo para mapeamento de locais com acessibilidade para pessoas com mobilidade reduzida ,Instituto Federal de Educação, Ciência E Tecnologia Do Rio Grande Do Norte - Campus Natal - Zona Norte,Tocantins (TO),2018
664bfc88454cf75dcafaa8ba,Prêmio Revista ECO 21 ,Utilização de lixo na fundação de casas na Amazônia: problema ou solução? ,E.E.E.M. Profa. Ernestina Pereira Maia, Moju,Pará (PA),2018
664bfc89454cf75dcafaa8bb,Prêmio Revista InCiência ,Biofibra: telha ecológica de fibra de coco ,Etec de Heliópolis, Sao Paulo,São Paulo (SP),2018
664bfc89454cf75dcafaa8bc,Prêmio Revista InCiência ,"Desenvolvimento da telha ecológica de baixo custo à base do bagaço da laranja (Citrus sinensis (L.) Osbeck), e a caracterização do seu potencial de aplicação em habitações de interesse social ",E.E. Professor Gabriel Pozzi, Limeira,São Paulo (SP),2018
664bfc89454cf75dcafaa8bd,Prêmio Revista InCiência ,Microscópio caseiro: uma alternativa para a melhoria do ensino de citologia nas escolas com ausência de laboratório de ciências ,Instituto Federal do Amapá - Campus Macapá, Macapa,Amapá (AP),2018
664bfc8a454cf75dcafaa8be,Prêmio Revista InCiência ,SmartCam: dispositivo de segurança para ultrapassagem ,COLEGIO ESTADUAL WILSON LINS, Valente,Bahia (BA),2018
664bfc8a454cf75dcafaa8bf,Prêmio Revista InCiência ,Braille Reader ,Colégio Técnico de Campinas - UNICAMP, Campinas,São Paulo (SP),2018
664bfc8b454cf75dcafaa8c0,Prêmio Revista InCiência ,Entendendo a geometria molecular através do movimento maker ,Colégio Paraíso, Juazeiro Do Norte,Ceará (CE),2018
664bfc8b454cf75dcafaa8c1,Prêmio Sociedade Brasileira de Bioquímica e Biologia Molecular ,A microbiota autóctone como solução para impactos ambientais e reaproveitamento dos resíduos do tratamento de água ,Instituto Federal de Educação, Ciência E Tecnologia Do Rio Grande Do Sul - Campus Osório,Tocantins (TO),2018
664bfc8c454cf75dcafaa8c2,Prêmio Sociedade Brasileira de Bioquímica e Biologia Molecular ,Cimento ósseo a partir da reciclagem de resíduos das indústrias coureira e pesqueira ,Etec Prof. Carmelino Corrêa Júnior (agrícola), Franca,São Paulo (SP),2018
