Categoria_de_premiação,Nome_do_projeto,Escola,Cidade,Estado,Ano
1º Lugar em Ciências Exatas e da Terra ,Síntese de carvões ativados magnéticos a partir de resíduos de poliestireno (isopor) e aplicação como adsorvente de contaminantes orgânicos,CEFET-MG - Unidade Contagem, Contagem,Minas Gerais (MG),2021
1º Lugar em Ciências Exatas e da Terra ,Tecnologias imersivas no ensino de astrobiologia,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2021
1º Lugar em Ciências Humanas ,Checker news: combatendo a perpetuação das notícias falsas na internet sobre a Covid-19,IFBA - Campus Seabra, Seabra,Bahia (BA),2021
1º Lugar em Ciências Humanas ,O riso do Joker como alegoria e melodrama do desfacelamento social,Escola Nova Lourenço Castanho, Sao Paulo,São Paulo (SP),2021
1º Lugar em Ciências Sociais Aplicadas ,FIDERE: desenvolvimento de um App voltado à economia circular de brechós e associações do litoral norte gaúcho,IFRS - Campus Osório, Osorio,Rio Grande do Sul (RS),2021
1º Lugar em Engenharia ,Estratégia para visualização de grandes massas de dados para medicina individualizada com foco na doença de Parkinson,Instituto Federal de Educação,Brasília,Tocantins (TO),2021
1º Lugar em Engenharia ,Desenvolvimento de uma plataforma robótica submarina open source de baixo custo para o monitoramento de corais,Colégio Santa Cruz, Sao Paulo,São Paulo (SP),2021
1º Lugar em Engenharia ,Análise de água automatizada: desenvolvimento de um drone à base de microcontroladores,Etec Benedito Storani, Jundiai,São Paulo (SP),2021
National Youth Science Camp (NYSC) ,Tecnologias imersivas no ensino de astrobiologia,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2021
National Youth Science Camp (NYSC) ,Aplicação de resíduos agroindustriais no combate do mosquito causador de arboviroses (Aedes aegypti),Colégio Alfa Premium, Toledo,Paraná (PR),2021
National Youth Science Camp (NYSC) ,Tecnologia alternativa para aumento germinativo e potencialização de compostos bioativos em culturas de coentro a partir da biomassa de Dunaliella salina incorporada ao biofilme polimérico,Colégio Estadual Prefeito Anfilófio Fernandes Viana, Umbauba,Sergipe (SE),2021
National Youth Science Camp (NYSC) ,Estratégia para visualização de grandes massas de dados para medicina individualizada com foco na doença de Parkinson,Instituto Federal de Educação,Brasília,Tocantins (TO),2021
Regeneron ISEF ,Tecnologia alternativa para aumento germinativo e potencialização de compostos bioativos em culturas de coentro a partir da biomassa de Dunaliella salina incorporada ao biofilme polimérico,Colégio Estadual Prefeito Anfilófio Fernandes Viana, Umbauba,Sergipe (SE),2021
Regeneron ISEF ,Potencial fungitóxico de diferentes extratos vegetais sobre o desenvolvimento in vitro do fitopatógeno causador da antracnose em frutos de bananeira - Fase IV,2Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2021
Regeneron ISEF ,Estratégia para visualização de grandes massas de dados para medicina individualizada com foco na doença de Parkinson,Instituto Federal de Educação,Brasília,Tocantins (TO),2021
Regeneron ISEF ,Desenvolvimento de uma plataforma robótica submarina open source de baixo custo para o monitoramento de corais,Colégio Santa Cruz, Sao Paulo,São Paulo (SP),2021
Regeneron ISEF ,Análise de água automatizada: desenvolvimento de um drone à base de microcontroladores,Etec Benedito Storani, Jundiai,São Paulo (SP),2021
Regeneron ISEF ,Tecnologias imersivas no ensino de astrobiologia,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2021
Regeneron ISEF ,"Construção de um biodigestor para a decomposição de polímeros, utilizando o Zophobas morio",E.E.F.M. Deputado Joaquim de Figueiredo Correia, Iracema,Ceará (CE),2021
Regeneron ISEF ,Avaliação do potencial repelente do extrato dos frutos de noni (Morinda citrifolia) aplicado em embalagens alimentícias para contenção de carunchos (Sitophilus spp. e Tribolium castaneum),Centro Integrado SESI/SENAI Aparecida do Taboado, Aparecida Do Taboado,Mato Grosso do Sul (MS),2021
Regeneron ISEF ,FIDERE: desenvolvimento de um App voltado à economia circular de brechós e associações do litoral norte gaúcho,IFRS - Campus Osório, Osorio,Rio Grande do Sul (RS),2021
Outstanding Achievement for Ability and Creativity in In Vitro Biology ,Produção de biomembranas e formulações farmacêuticas a partir do látex da mangaba (Hancornia speciosa) para auxílio na cicatrização de úlceras de perna em portadores do diabetes mellitus ,IFBA - Campus Catu, Catu,Bahia (BA),2020
Outstanding for Behavioral Sciences ,: Autism play: jogos interativos para crianças com autismo ,Campo não encontrado,Campo não encontrado,Campo não encontrado,2020
Most Outstanding Exhibit in Material Science ,Madeira Plástica: um compósito baseado em polietileno de alta densidade e rejeitos de mineração,Campo não encontrado,Campo não encontrado,Campo não encontrado,2020
"Most Challenging, original, thorough and Creative Investigation of a ",Elaboração de indicadores de prevalência social (IPS) para redefinição do rastreamento onco-mastológico no Sistema Único de Saúde (SUS) na cidade de São Paulo - Fase II,Escola Nova Lourenço Castanho, Sao Paulo,São Paulo (SP),2020
The 2020 Regional Ricoh Sustainable Development Award ,Prevenindo o deslizamento de barreiras: tela impermeável produzida a partir da casca da manga,E.E. Ministro Jarbas Passarinho, Camaragibe,Pernambuco (PE),2020
Science Champion Award ,Vespertílio 01- robô semeador para agricultura familiar,Colégio Cristo Rei, Pindoretama,Ceará (CE),2020
"Most Outstanding Exhibit in Computer Science, Engineering, Physics or ",Casa de farinha: da mandioca ao bioplástico ,Colégio Estadual Dr. Antônio Garcia Filho, Umbauba,Sergipe (SE),2020
Outstanding Achievement for Ability and Creativity in an Atmospheric ,Turbidímetro e condutivímetro integrados de baixo custo,IFCE - Campus Juazeiro do Norte, Juazeiro Do Norte,Ceará (CE),2020
Prêmio ABRITEC - Destaque de Incentivo a Tecnologia e Ciência ,Estudo dos aspectos geográfico-sociais da tripanossomíase americana para obtenção de tecnologia social destinada à aplicação na melhoria estrutural de moradias vulneráveis à infestação de insetos triatomíneos ,E.E.M. Ronaldo Caminha Barbosa, Cascavel,Ceará (CE),2020
Prêmio ABRITEC - Destaque de Incentivo a Tecnologia e Ciência ,Produção e caracterização mecânica de adesivos de látex para tratamentos de cicatrização de feridas ,E.E. Priscila Fernandes da Rocha, Hortolandia,São Paulo (SP),2020
Prêmio ABRITEC - Destaque de Incentivo a Tecnologia e Ciência ,Avaliação da fibra de paina (Ceiba pentandra) como biomanta de contenção de encostas na Região Metropolitana do Recife ,Colégio Militar do Recife, Recife,Pernambuco (PE),2020
Prêmio ABRIC de Incentivo à Ciência ,Estudo dos aspectos geográfico-sociais da tripanossomíase americana para obtenção de tecnologia social destinada à aplicação na melhoria estrutural de moradias vulneráveis à infestação de insetos triatomíneos ,E.E.M. Ronaldo Caminha Barbosa, Cascavel,Ceará (CE),2020
Prêmio ABRIC de Incentivo à Ciência ,Sistema de captação de água de poços artesianos sem uso de energia elétrica em áreas de assentamento do município de Bodó ,Escola Agrícola de Jundiaí, Macaiba,Rio Grande do Norte (RN),2020
Prêmio Marília Chaves Peixoto ,Sci-LIBRAS: proposta de aplicativo tradutor de palavras de cinemática em LIBRAS ,EETEPA Monte Alegre, Monte Alegre,Pará (PA),2020
Prêmio Marília Chaves Peixoto ,Previsão de estudantes com risco de evasão utilizando técnicas de inteligência artificial ,IFMS - Campus Aquidauana, Aquidauana,Mato Grosso do Sul (MS),2020
Prêmio Anna Frida Hoffman ,A escola feita para todos ,E.E. Prof. Celso Henrique Tozzi, Jaguariuna,São Paulo (SP),2020
Prêmio Anna Frida Hoffman ,Sistema de monitoração cardíaca e respiratória para pequenos animais compatível com ambiente de ressonância magnética ,CEFET-MG - Unidade BH - Campus II, Belo Horizonte,Minas Gerais (MG),2020
Prêmio Revista InCiência ,AgroAtóxico ,Sociedade Educacional Positivo Ltda. - Escolas Positivo, Curitiba,Paraná (PR),2020
Prêmio Revista InCiência ,Avaliação do uso de extratos de Sansevieria trifasciata Prain em Brachiaria decumbens (Stapf) R.D. Webster como alternativa de herbicida natural para preservação de unidades de conservação ambiental ,E.E. Teotônio Vilela, Campo Grande,Mato Grosso do Sul (MS),2020
Prêmio Revista InCiência ,Elaboração de indicadores de prevalência social (IPS) para redefinição do rastreamento onco-mastológico no Sistema Único de Saúde (SUS) na cidade de São Paulo - Fase II ,Escola Nova Lourenço Castanho, Sao Paulo,São Paulo (SP),2020
Prêmio Revista InCiência ,Produção de álcool em gel a partir de resíduos vegetais oriundos do restaurante escolar do IFMT – Campus Cáceres - Prof. Olegário Baldo ,IFMT - Campus Cáceres, Caceres,Mato Grosso (MT),2020
Prêmio Revista InCiência ,Cascatelha – fabricação de uma telha sustentável como alternativa ecológica ,E.E. Doutor José Fernandes de Melo, Pau Dos Ferros,Rio Grande do Norte (RN),2020
Prêmio Revista ECO 21 ,Polibrick: espuma rígida de poliuretano como agregada em blocos de concreto ,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2020
Prêmio EDUSP ,Friday: uma prótese microcontrolada ,EEEP Avelino Magalhães, Tabuleiro Do Norte,Ceará (CE),2020
Prêmio EDUSP ,"Análise do efeito alelopático de Leucaena leucocephala sobre Lactuca sativa subsp. crispa, Cecropia pachystachya e Campomanesia adamantium ",E.E. Teotônio Vilela, Campo Grande,Mato Grosso do Sul (MS),2020
Prêmio EDUSP ,Estação meteorológica portátil: uma análise dos elementos do clima dentro do ambiente escolar ,E.E. Vitor Meireles, Campinas,São Paulo (SP),2020
Prêmio EDUSP ,Isolante térmico com embalagens de leite longa vida ,Escola Estadual Liberdade, Palmas,Tocantins (TO),2020
Prêmio SBBq ,Avaliação do uso de extratos de Sansevieria trifasciata Prain em Brachiaria decumbens (Stapf) R.D. Webster como alternativa de herbicida natural para preservação de unidades de conservação ambiental ,E.E. Teotônio Vilela, Campo Grande,Mato Grosso do Sul (MS),2020
Prêmio SBBq ,Triagem de actinomicetos com atividade proteolíticas e lipolítica ,CEFET-MG - Campus VIII, Varginha,Minas Gerais (MG),2020
Prêmio SBBq ,Efeito fungitóxico de extratos vegetais sobre o desenvolvimento in vitro do fitopatógeno Colletotrichum gloeosporioides (Penz.) causador da antracnose em mamoeiros ,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2020
Prêmio SBBq ,Lima-da-pérsia como solução alternativa e natural para a desinfecção da água ,Colégio Estadual João Vilas Boas, Livramento Do Brumado,Bahia (BA),2020
Prêmio SBBq ,Utilização do fruto do jatobá (Hymenaea stigonocarp) para a produção de bebida nutricional ,Centro Territorial de Educação Profissional da Bacia do Rio Grande, Barreiras,Bahia (BA),2020
Prêmio Destaque do Ano Ciências Moleculares - Mérito Acadêmico ,Análise da ação antibiótica do extrato orgânico da Couroupita guianensis acerca de bactérias associadas a infecções hospitalares ,IFRJ - Campus Rio de Janeiro, Rio De Janeiro,Rio de Janeiro (RJ),2020
Prêmio Destaque do Ano Ciências Moleculares - Interdisciplinaridade ,Sistema agrícola integrado: alternativa introdutória à agricultura familiar em regiões de limitações geográficas e físicas ,E.E. Prof. Gabriel de Almeida Café, Macapa,Amapá (AP),2020
3º Lugar ,Cadeira de rodas controlada por movimentos oculares ,CEAP - Centro Educacional e Assistencial Profissionalizante - Pedreira, Sao Paulo,São Paulo (SP),2020
2º Lugar ,Utilização das casca de ovos para produção da pasta de citrato de cálcio: suplemento alternativo para prevenção de doenças ósseas ,Escola João Rique Ferreira SESI, Campina Grande,Paraíba (PB),2020
1º Lugar ,Desenvolvimento de um microscópio portátil fabricado em impressora 3D como agente facilitador do ensino de ciências biológicas ,IFPR - Campus Paranaguá, Paranagua,Paraná (PR),2020
3º Lugar em Mentalidade Marítima ,Sukso eco barco ,Escola Estadual Professor Antônio Carlos da Silva Natalino, Boa Vista,Roraima (RR),2020
2º Lugar em Mentalidade Marítima ,Barco removedor de resíduos ,E.E. Professora Maria Avelina do Carmo, Traipu,Alagoas (AL),2020
1o. Lugar em Mentalidade Marítima ,Mini-transponder para embarcações: para prevenção a acidentes na região ribeirinha de Abaetetuba-PA ,IFPA - Campus Abaetetuba, Abaetetuba,Pará (PA),2020
Prêmio Defesa Civil do Estado de São Paulo ,AirQ ,IFRN - Campus Natal - Central, Natal,Rio Grande do Norte (RN),2020
Prêmio Defesa Civil do Estado de São Paulo ,Avaliação da fibra de paina (Ceiba pentandra) como biomanta de contenção de encostas na Região Metropolitana do Recife ,Colégio Militar do Recife, Recife,Pernambuco (PE),2020
Prêmio Defesa Civil do Estado de São Paulo ,Prevenindo o deslizamento de barreiras: tela impermeável produzida a partir da casca da manga ,E.E. Ministro Jarbas Passarinho, Camaragibe,Pernambuco (PE),2020
Prêmio Associação dos Engenheiros Politécnicos ,Polibrick: espuma rígida de poliuretano como agregada em blocos de concreto ,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2020
Prêmio Associação dos Engenheiros Politécnicos ,Controle eletrônico para um sistema de circulação de água fechada para tratamento de lesões sofridas por impacto utilizando célula de Peltier ,IFSP - Campus Campinas, Campinas,São Paulo (SP),2020
Prêmio Associação dos Engenheiros Politécnicos ,Desenvolvimento de um aerogerador utilizando sucata de ar-condicionado ,IFTO - Campus Araguaína, Araguaina,Tocantins (TO),2020
Prêmio Associação dos Engenheiros Politécnicos ,Friday: uma prótese microcontrolada ,EEEP Avelino Magalhães, Tabuleiro Do Norte,Ceará (CE),2020
Prêmio Centro Estadual de Educação Tecnológica Paula Souza ,Caixa de remédios automatizada para auxiliar idosos ,E.E.B. Bom Pastor, Chapeco,Santa Catarina (SC),2020
Prêmio Centro Estadual de Educação Tecnológica Paula Souza ,Síntese de polímeros biodegradáveis a partir de coprodutos agroindustriais para combate à escassez de água e melhoramento agrícola ,E.E.M. Ronaldo Caminha Barbosa, Cascavel,Ceará (CE),2020
Prêmio Destaque Instituto 3M ,"Auxílio a cuidadores de idosos com Alzheimer: estágios do Alzheimer, importância da rotina e dificuldades ",Escola Salesiana São José, Campinas,São Paulo (SP),2020
Prêmio Destaque Instituto 3M ,Filtro bactericida por carvão ativado impregnado com prata a partir de esponja multiuso ,CEPIN - Centro de Educacao Profissional de Indaiatuba, Indaiatuba,São Paulo (SP),2020
Prêmio Destaque Instituto 3M ,Icy Head - crioterapia capilar ,Colegio Pectrus Ltda, Hortolandia,São Paulo (SP),2020
Prêmio Destaque Instituto 3M ,Silent Cry: dispositivo auxiliar para deficientes auditivos para detecção de choro de bebês ,Etec Bento Quirino, Campinas,São Paulo (SP),2020
Prêmio Oracle de Tecnologia ,Totalizador de pessoas em recinto fechado com monitoramento remoto na nuvem ,IFSP - Campus Campinas, Campinas,São Paulo (SP),2020
Prêmio FEMIC ,Bonecas e bonecos com características afro-brasileiras: representação e empoderamento negro ,Escola Santa Teresinha, Imperatriz,Maranhão (MA),2020
Prêmio FEMIC ,Utilização de resíduos agroindustriais para a conservação pós-colheita de frutas ,Colégio Alfa Premium, Toledo,Paraná (PR),2020
Prêmio FEMIC ,Cadeira de rodas controlada por movimentos oculares ,CEAP - Centro Educacional e Assistencial Profissionalizante - Pedreira, Sao Paulo,São Paulo (SP),2020
Prêmio FEBIC ,Elaboração de conservas de palmito do miolo da bananeira (Musa spp) como alternativa de alimentação e renda ,Centro Territorial de Educação Profissional da Bacia do Rio Grande, Barreiras,Bahia (BA),2020
